COD_DANE_A,VERSION,AREA,Casa_indigena,Total_Viviendas,Casa,Apartamento,Tipo_Cuarto,Electrica_SI,Electrica_NO,Acueducto_SI,Acueducto_NO,Alcantarillado_SI,Alcantarillado_NO,GasNatural_SI,GasNatural_SI,Total_Personas,HOMBRE,MUJER,Preescolar,Primaria,Secundaria,Especializacion,Ninguno,Ninguno,No_responde
7300110000000000560168,2018,1954.215300,0,31,27,2,2,52,0,26,0,26,0,26,0,90,42,48,19,40,20,0,2,0,28
7300110000000000560169,2018,2298.780813,0,8,6,2,0,16,0,8,0,8,0,8,0,20,10,10,4,0,0,0,0,0,20
7300110000000000560170,2018,464.853107,0,12,5,7,0,14,0,7,0,7,0,7,0,23,10,13,5,0,5,0,0,0,18
7300110000000000560171,2018,610.292815,0,33,24,9,0,66,0,33,0,33,0,24,0,74,34,40,10,0,6,0,0,27,41
7300110000000000560172,2018,58.290387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560173,2018,287.630054,0,7,5,2,0,10,0,5,0,5,0,5,0,12,7,5,0,0,0,0,0,0,12
7300110000000000560174,2018,450.941345,0,8,3,5,0,16,0,8,0,8,0,8,0,25,12,13,0,0,0,0,0,0,25
7300110000000000560175,2018,8848.039884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560176,2018,1155.793454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560177,2018,780.286106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560178,2018,1787.794859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560179,2018,9479.269249,0,19,10,9,0,30,0,15,0,15,0,15,0,44,23,21,12,15,11,0,0,2,16
7300110000000000560180,2018,1847.201633,0,9,9,0,0,18,0,9,0,9,0,9,0,32,16,16,4,0,8,0,0,0,24
7300110000000000560181,2018,334.083335,0,26,19,6,1,52,1,26,0,26,0,18,1,62,26,36,0,0,8,0,0,34,20
7300110000000000560182,2018,593.297264,0,27,6,21,0,48,0,24,0,24,0,15,0,55,21,34,0,18,8,0,0,13,16
7300110000000000560183,2018,1274.630540,0,51,34,17,0,98,0,49,0,48,1,39,1,101,43,58,17,0,19,0,1,29,52
7300110000000000560184,2018,11122.252672,0,10,8,2,0,20,1,10,0,10,0,10,0,24,13,11,0,0,11,0,2,2,9
7300110000000000560185,2018,6772.862895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560701,2018,3198.763295,0,27,26,1,0,52,0,26,0,26,0,25,0,84,41,43,0,0,28,9,3,2,42
7300110000000000560703,2018,951.149811,0,11,11,0,0,16,0,8,0,8,0,7,0,21,9,12,0,0,0,0,0,0,21
7300110000000000560704,2018,2447.959439,0,27,22,5,0,48,0,24,0,24,0,23,0,87,44,43,12,0,34,0,0,1,52
7300110000000000560705,2018,6378.354358,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7300110000000000560706,2018,2446.070152,0,21,21,0,0,38,1,19,0,19,0,19,0,63,28,35,0,0,0,4,0,0,59
